Countries,USA,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Denmark,28796,48,58,659,89,6740,774,608,11,41,1771,542,148,65,679,112,67,56,113,76,138,415,1400,505,410,74,149,49,65,459,146,1174,42,2100,759,85,499,71,693,815,184,298,22,240,1912,496,34,730,1759,47,339,30
Ireland,121499,228,67,1410,253,15973,1471,3122,332,570,9268,1466,254,115,6883,842,141,176,744,447,312,1928,14052,1187,787,203,521,114,175,593,793,8072,287,27106,2001,9,1505,184,1692,4473,590,944,3,723,3707,268,259,2049,2504,29,568,99
Norway,22052,102,162,431,81,3699,473,400,23,111,2113,283,88,173,627,125,213,59,67,178,74,506,467,261,503,37,109,67,37,147,129,810,91,2031,399,70,246,71,866,675,109,152,20,12,1921,358,11,431,1694,9,313,18
Sweden,47489,167,179,1080,81,12343,1029,941,24,336,4316,843,269,106,1273,122,269,74,233,211,105,795,1718,788,532,22,282,27,44,425,331,1002,114,4083,1613,14,383,123,838,1150,117,778,31,488,2921,592,114,1308,2227,24,572,32
United Kingdom,709840,4319,885,18167,2951,128737,13776,14797,1974,2844,77986,20069,1993,2372,19252,5963,2050,3262,3670,2815,2972,12898,25998,14224,5719,1850,5695,1461,1407,7679,3953,26254,3184,64243,21125,381,13046,3400,12380,21561,2618,9593,629,8428,53822,5523,1805,20045,21969,1350,5795,951
Austria,40445,306,24,1064,81,6851,806,718,52,108,3979,840,132,322,2593,291,104,34,198,149,207,664,896,1088,361,121,398,68,42,483,294,2005,203,5000,721,71,1515,205,662,1144,77,501,12,459,1104,227,135,1494,657,50,884,45
Belgium,35017,138,24,520,48,6123,993,691,86,380,3837,964,184,78,918,142,49,115,172,342,180,1078,1260,707,254,53,281,77,40,319,56,1257,82,5268,972,5,485,86,515,648,91,380,4,238,2128,262,57,1153,879,46,337,15
France,184856,1121,275,3286,471,39974,2676,3214,220,1748,19333,3885,945,292,5730,1272,223,529,900,963,508,4352,7613,2922,1669,285,1547,225,260,1960,618,7328,653,25567,2979,333,3101,528,2700,4508,691,1827,90,1248,11389,894,400,5324,5184,217,767,112
Germany,543920,6624,1368,13979,2770,73893,13918,7041,1467,1579,52926,18083,2871,2540,19151,6571,2582,3404,5425,3379,2173,10714,12688,17015,6851,2008,7509,2067,2185,6429,2736,16955,3971,40273,15366,490,13726,5509,8129,18011,1292,9472,624,8162,36960,4775,1073,18840,17783,1421,8505,637
Netherlands,84052,289,221,2763,214,18097,1541,1138,419,243,8286,1981,317,446,2144,533,494,308,351,483,430,1495,2156,3868,894,249,484,358,131,955,538,2454,416,5188,1338,20,1939,222,2081,1935,413,676,120,633,5877,1734,250,2200,3400,120,1125,85
